n_neighbors,n_components,min_dist,min_cluster_size,min_samples,cluster_eps,embedding_model,coherence,diversity,silhouette
10,5,0.0,50,5,0.1,paraphrase-multilingual-mpnet-base-v2,0.4627803878860033,0.782608695652174,0.05076294392347336
10,5,0.0,50,5,0.1,neuralmind/bert-base-portuguese-cased,0.5449153656573958,0.7526315789473684,-0.04426176846027374
10,5,0.0,50,10,0.1,paraphrase-multilingual-mpnet-base-v2,0.4832617306055111,0.8289473684210527,0.07230614125728607
10,5,0.0,50,10,0.1,neuralmind/bert-base-portuguese-cased,0.521811795352234,0.7777777777777778,-0.03348006308078766
10,5,0.0,50,100,0.1,paraphrase-multilingual-mpnet-base-v2,0.5346760574247928,0.8833333333333333,0.00568524282425642
10,5,0.0,50,100,0.1,neuralmind/bert-base-portuguese-cased,0.6133339785313197,0.8,-0.11066260188817978
10,5,0.0,100,5,0.1,paraphrase-multilingual-mpnet-base-v2,0.5454261994238098,0.875,0.00038149935426190495
10,5,0.0,100,5,0.1,neuralmind/bert-base-portuguese-cased,0.5695192424923473,0.7458333333333333,-0.04377206414937973
10,5,0.0,100,10,0.1,paraphrase-multilingual-mpnet-base-v2,0.5151788982967884,0.8666666666666667,0.0046590412966907024
10,5,0.0,100,10,0.1,neuralmind/bert-base-portuguese-cased,0.5559031951144031,0.775,-0.0281777735799551
10,5,0.0,100,100,0.1,paraphrase-multilingual-mpnet-base-v2,0.5346760574247928,0.8833333333333333,0.00568524282425642
10,5,0.0,100,100,0.1,neuralmind/bert-base-portuguese-cased,0.5961203286003848,0.9125,0.07198873907327652
10,5,0.0,150,5,0.1,paraphrase-multilingual-mpnet-base-v2,0.5160523311539321,0.85,0.005096957087516785
10,5,0.0,150,5,0.1,neuralmind/bert-base-portuguese-cased,0.58497539920902,0.7388888888888889,-0.062526635825634
10,5,0.0,150,10,0.1,paraphrase-multilingual-mpnet-base-v2,0.5151788982967884,0.8666666666666667,0.0046590412966907024
