n_neighbors,n_components,min_dist,min_cluster_size,min_samples,cluster_eps,embedding_model,coherence,diversity,silhouette
10,5,0.0,50,5,0.1,all-MiniLM-L6-v2,0.46673865060762854,0.85,0.5734119415283203
10,5,0.0,50,5,0.1,all-distilroberta-v1,0.47674778019046665,0.8857142857142857,0.2878313958644867
10,5,0.0,50,5,0.1,paraphrase-MiniLM-L6-v2,0.4585807107236507,0.7304347826086957,0.7101621627807617
10,5,0.0,50,5,0.1,neuralmind/bert-base-portuguese-cased,0.5259712516927495,0.8027777777777778,0.42362818121910095
10,5,0.0,50,10,0.1,all-MiniLM-L6-v2,0.46673865060762865,0.85,0.5731171369552612
10,5,0.0,50,10,0.1,all-distilroberta-v1,0.486906223430267,0.9,0.4276323616504669
10,5,0.0,50,10,0.1,paraphrase-MiniLM-L6-v2,0.4127067637271583,0.65,-0.03833179548382759
10,5,0.0,50,10,0.1,neuralmind/bert-base-portuguese-cased,0.5691158174429806,0.8033333333333333,0.5462439060211182
10,5,0.0,50,100,0.1,all-MiniLM-L6-v2,0.4564150829807424,0.825,0.5827500224113464
10,5,0.0,50,100,0.1,all-distilroberta-v1,0.5804050288196237,0.8642857142857143,0.6559433341026306
10,5,0.0,50,100,0.1,paraphrase-MiniLM-L6-v2,0.46642920213474026,0.875,0.6722325682640076
10,5,0.0,50,100,0.1,neuralmind/bert-base-portuguese-cased,0.6356182691572374,0.8,0.4457094669342041
10,5,0.0,100,5,0.1,all-MiniLM-L6-v2,0.46673865060762854,0.85,0.5734119415283203
10,5,0.0,100,5,0.1,all-distilroberta-v1,0.5392487305912882,0.8444444444444444,0.5496311783790588
10,5,0.0,100,5,0.1,paraphrase-MiniLM-L6-v2,0.4385771944519403,0.925,0.6684725284576416
10,5,0.0,100,5,0.1,neuralmind/bert-base-portuguese-cased,0.44338788874478796,1.0,-0.1052589938044548
10,5,0.0,100,10,0.1,all-MiniLM-L6-v2,0.46673865060762865,0.85,0.5731171369552612
10,5,0.0,100,10,0.1,all-distilroberta-v1,0.5169582996229769,0.8625,0.571924090385437
10,5,0.0,100,10,0.1,paraphrase-MiniLM-L6-v2,0.42281997663142845,0.9,0.6679956912994385
10,5,0.0,100,10,0.1,neuralmind/bert-base-portuguese-cased,0.5860272089037573,0.7583333333333333,0.5941015481948853
10,5,0.0,100,100,0.1,all-MiniLM-L6-v2,0.4564150829807424,0.825,0.5827500224113464
10,5,0.0,100,100,0.1,all-distilroberta-v1,0.5804050288196237,0.8642857142857143,0.6559433341026306
10,5,0.0,100,100,0.1,paraphrase-MiniLM-L6-v2,0.46642920213474026,0.875,0.6722325682640076
10,5,0.0,100,100,0.1,neuralmind/bert-base-portuguese-cased,0.6554204813191458,0.8416666666666667,0.46541279554367065
10,5,0.0,150,5,0.1,all-MiniLM-L6-v2,0.46673865060762854,0.85,0.5734119415283203
10,5,0.0,150,5,0.1,all-distilroberta-v1,0.5521794295261622,0.8214285714285714,0.5455273985862732
10,5,0.0,150,5,0.1,paraphrase-MiniLM-L6-v2,0.4385771944519403,0.925,0.6684725284576416
10,5,0.0,150,5,0.1,neuralmind/bert-base-portuguese-cased,0.44338788874478796,1.0,-0.1052589938044548
10,5,0.0,150,10,0.1,all-MiniLM-L6-v2,0.46673865060762865,0.85,0.5731171369552612
10,5,0.0,150,10,0.1,all-distilroberta-v1,0.5489923437147993,0.8357142857142857,0.5698259472846985
10,5,0.0,150,10,0.1,paraphrase-MiniLM-L6-v2,0.42281997663142845,0.9,0.6679956912994385
10,5,0.0,150,10,0.1,neuralmind/bert-base-portuguese-cased,0.6109327696425555,0.7111111111111111,0.6135857701301575
10,5,0.0,150,100,0.1,all-MiniLM-L6-v2,0.4564150829807424,0.825,0.5827500224113464
10,5,0.0,150,100,0.1,all-distilroberta-v1,0.4436303703331396,0.725,0.7220777273178101
10,5,0.0,150,100,0.1,paraphrase-MiniLM-L6-v2,0.46642920213474026,0.875,0.6722325682640076
10,5,0.0,150,100,0.1,neuralmind/bert-base-portuguese-cased,0.6193414447466374,0.9375,0.39575645327568054
10,5,0.1,50,5,0.1,all-MiniLM-L6-v2,0.45085010693459915,0.775,0.5820152759552002
10,5,0.1,50,5,0.1,all-distilroberta-v1,0.4054339422369003,0.925,0.056953247636556625
10,5,0.1,50,5,0.1,paraphrase-MiniLM-L6-v2,0.38581704497504066,0.8,0.5795226097106934
10,5,0.1,50,5,0.1,neuralmind/bert-base-portuguese-cased,0.5594408065162593,0.7947368421052632,0.504338800907135
10,5,0.1,50,10,0.1,all-MiniLM-L6-v2,0.4742310801101869,0.825,0.5836638808250427
10,5,0.1,50,10,0.1,all-distilroberta-v1,0.4054339422369003,0.925,0.056953247636556625
10,5,0.1,50,10,0.1,paraphrase-MiniLM-L6-v2,0.38581704497504066,0.8,0.5795226097106934
10,5,0.1,50,10,0.1,neuralmind/bert-base-portuguese-cased,0.5814146890802748,0.8045454545454546,0.5053017735481262
10,5,0.1,50,100,0.1,all-MiniLM-L6-v2,0.46374258549899067,0.825,0.597725510597229
10,5,0.1,50,100,0.1,all-distilroberta-v1,0.6078755268171069,0.8642857142857143,0.6099631786346436
10,5,0.1,50,100,0.1,paraphrase-MiniLM-L6-v2,0.4708703201592922,0.8,0.647072434425354
10,5,0.1,50,100,0.1,neuralmind/bert-base-portuguese-cased,0.6363007382433709,0.7857142857142857,0.46026989817619324
10,5,0.1,100,5,0.1,all-MiniLM-L6-v2,0.46072053373603417,0.6888888888888889,0.46816280484199524
10,5,0.1,100,5,0.1,all-distilroberta-v1,0.4922572234229375,0.8875,0.4980972707271576
10,5,0.1,100,5,0.1,paraphrase-MiniLM-L6-v2,0.4264989552871023,0.6272727272727273,0.5874614119529724
10,5,0.1,100,5,0.1,neuralmind/bert-base-portuguese-cased,0.5650489105807172,0.7636363636363637,0.6226137280464172
10,5,0.1,100,10,0.1,all-MiniLM-L6-v2,0.4742310801101869,0.825,0.5836638808250427
10,5,0.1,100,10,0.1,all-distilroberta-v1,0.5354316060193519,0.8571428571428571,0.5153765082359314
10,5,0.1,100,10,0.1,paraphrase-MiniLM-L6-v2,0.4547387525476642,0.645,0.5754137635231018
10,5,0.1,100,10,0.1,neuralmind/bert-base-portuguese-cased,0.5806489256337948,0.81,0.5113534927368164
10,5,0.1,100,100,0.1,all-MiniLM-L6-v2,0.46374258549899067,0.825,0.597725510597229
10,5,0.1,100,100,0.1,all-distilroberta-v1,0.5995867127475037,0.825,0.6074269413948059
10,5,0.1,100,100,0.1,paraphrase-MiniLM-L6-v2,0.49033470726362277,0.7333333333333333,0.05300208181142807
10,5,0.1,100,100,0.1,neuralmind/bert-base-portuguese-cased,0.6363709913053871,0.9375,0.3991313874721527
10,5,0.1,150,5,0.1,all-MiniLM-L6-v2,0.45085010693459915,0.775,0.5820152759552002
10,5,0.1,150,5,0.1,all-distilroberta-v1,0.5390734537285685,0.8571428571428571,0.4904293119907379
10,5,0.1,150,5,0.1,paraphrase-MiniLM-L6-v2,0.42390504271111124,0.65625,0.5795184969902039
10,5,0.1,150,5,0.1,neuralmind/bert-base-portuguese-cased,0.5938431984809649,0.74375,0.6331830024719238
10,5,0.1,150,10,0.1,all-MiniLM-L6-v2,0.4742310801101869,0.825,0.5836638808250427
10,5,0.1,150,10,0.1,all-distilroberta-v1,0.5354316060193519,0.8571428571428571,0.5153765082359314
10,5,0.1,150,10,0.1,paraphrase-MiniLM-L6-v2,0.48974432609869173,0.7,0.6733124256134033
10,5,0.1,150,10,0.1,neuralmind/bert-base-portuguese-cased,0.6108734780248769,0.7857142857142857,0.5339834094047546
10,5,0.1,150,100,0.1,all-MiniLM-L6-v2,0.46374258549899067,0.825,0.597725510597229
10,5,0.1,150,100,0.1,all-distilroberta-v1,0.6043562230870807,0.83,0.6154832243919373
10,5,0.1,150,100,0.1,paraphrase-MiniLM-L6-v2,0.4708703201592922,0.8,0.647072434425354
10,5,0.1,150,100,0.1,neuralmind/bert-base-portuguese-cased,0.5712582748369527,0.95,0.6054020524024963
10,5,0.5,50,5,0.1,all-MiniLM-L6-v2,0.38891695215443745,0.8136363636363636,0.1304350644350052
10,5,0.5,50,5,0.1,all-distilroberta-v1,0.5120169829641823,0.87,0.18953077495098114
10,5,0.5,50,5,0.1,paraphrase-MiniLM-L6-v2,0.36516372910066297,0.775,0.41323864459991455
10,5,0.5,50,5,0.1,neuralmind/bert-base-portuguese-cased,0.47517963900926274,0.925,-0.22236397862434387
10,5,0.5,50,10,0.1,all-MiniLM-L6-v2,0.3947592166964779,0.75,-0.36124366521835327
10,5,0.5,50,10,0.1,all-distilroberta-v1,0.5002665396043092,0.9,0.11538038402795792
10,5,0.5,50,10,0.1,paraphrase-MiniLM-L6-v2,0.38792886874779214,0.8,0.4191342890262604
10,5,0.5,50,10,0.1,neuralmind/bert-base-portuguese-cased,0.4194646818291186,0.95,-0.027380259707570076
10,5,0.5,50,100,0.1,all-MiniLM-L6-v2,0.4933406805626358,0.875,0.5024393796920776
10,5,0.5,50,100,0.1,all-distilroberta-v1,0.5616155335474649,0.82,0.5743563771247864
10,5,0.5,50,100,0.1,paraphrase-MiniLM-L6-v2,0.4506457673703085,0.875,0.4524456858634949
10,5,0.5,50,100,0.1,neuralmind/bert-base-portuguese-cased,0.5135843600776806,0.95,0.6927226185798645
10,5,0.5,100,5,0.1,all-MiniLM-L6-v2,0.3921807142176234,0.7666666666666667,0.31001099944114685
10,5,0.5,100,5,0.1,all-distilroberta-v1,0.5120169829641823,0.87,0.18953077495098114
10,5,0.5,100,5,0.1,paraphrase-MiniLM-L6-v2,0.4646627858418193,0.7416666666666667,0.53200364112854
10,5,0.5,100,5,0.1,neuralmind/bert-base-portuguese-cased,0.5748826111172505,0.77,0.3508550822734833
10,5,0.5,100,10,0.1,all-MiniLM-L6-v2,0.3531408518233083,0.825,-0.06036371365189552
10,5,0.5,100,10,0.1,all-distilroberta-v1,0.5225921934415461,0.88,0.21740981936454773
10,5,0.5,100,10,0.1,paraphrase-MiniLM-L6-v2,0.4800968481011245,0.78,0.48601973056793213
10,5,0.5,100,10,0.1,neuralmind/bert-base-portuguese-cased,0.5658257389222761,0.85,0.28244873881340027
10,5,0.5,100,100,0.1,all-MiniLM-L6-v2,0.4933406805626358,0.875,0.5024393796920776
10,5,0.5,100,100,0.1,all-distilroberta-v1,0.5338270176785304,0.8,0.6096300482749939
10,5,0.5,100,100,0.1,paraphrase-MiniLM-L6-v2,0.4506457673703085,0.875,0.4524456858634949
10,5,0.5,100,100,0.1,neuralmind/bert-base-portuguese-cased,0.5135843600776806,0.95,0.6927226185798645
10,5,0.5,150,5,0.1,all-MiniLM-L6-v2,0.46874015145727393,0.8125,0.40798133611679077
10,5,0.5,150,5,0.1,all-distilroberta-v1,0.46004586518013746,0.8625,0.20127949118614197
10,5,0.5,150,5,0.1,paraphrase-MiniLM-L6-v2,0.4433432123353924,0.75,0.5998518466949463
10,5,0.5,150,5,0.1,neuralmind/bert-base-portuguese-cased,0.5612745641581192,0.8125,0.29585227370262146
10,5,0.5,150,10,0.1,all-MiniLM-L6-v2,0.5000891470661563,0.7583333333333333,0.592844545841217
10,5,0.5,150,10,0.1,all-distilroberta-v1,0.4856667197457471,0.8666666666666667,0.31221890449523926
