n_neighbors,n_components,min_dist,min_cluster_size,min_samples,cluster_eps,embedding_model,coherence,diversity,silhouette,mean_score
10,5,0.0,50,5,0.1,all-MiniLM-L6-v2,0.5399939579270009,0.83,0.30543893575668335,0.5584776312278947
10,5,0.0,50,5,0.1,all-distilroberta-v1,0.4816830416128724,0.8676470588235294,-0.036026835441589355,0.4377677549982708
10,5,0.0,50,5,0.1,paraphrase-MiniLM-L6-v2,0.45434050648190355,0.7309523809523809,0.5936645269393921,0.5929858047912255
10,5,0.0,50,5,0.1,neuralmind/bert-base-portuguese-cased,0.6010519228540533,0.72,0.42769861221313477,0.582916845022396
10,5,0.0,50,10,0.1,all-MiniLM-L6-v2,0.5163024677613691,0.9166666666666666,0.6322091817855835,0.6883927720712064
10,5,0.0,50,10,0.1,all-distilroberta-v1,0.486781865053179,0.8583333333333333,0.14532189071178436,0.4968123630327656
10,5,0.0,50,10,0.1,paraphrase-MiniLM-L6-v2,0.458235525566856,0.8,0.6800172924995422,0.6460842726887994
10,5,0.0,50,10,0.1,neuralmind/bert-base-portuguese-cased,0.6203529024867365,0.7653846153846153,0.4942544996738434,0.6266640058483984
10,5,0.0,50,100,0.1,all-MiniLM-L6-v2,0.47080170661900494,0.825,0.8266275525093079,0.7074764197094376
10,5,0.0,50,100,0.1,all-distilroberta-v1,0.5904599606977377,0.8714285714285714,0.43029338121414185,0.630727304446817
10,5,0.0,50,100,0.1,paraphrase-MiniLM-L6-v2,0.4737512001891553,0.875,0.8623101711273193,0.7370204571054915
10,5,0.0,50,100,0.1,neuralmind/bert-base-portuguese-cased,0.6073036031365855,0.79375,0.3607024848461151,0.5872520293275668
10,5,0.0,100,5,0.1,all-MiniLM-L6-v2,0.43526342948964175,0.7833333333333333,0.5097016096115112,0.576099457478162
10,5,0.0,100,5,0.1,all-distilroberta-v1,0.568692889519094,0.86875,0.24353046715259552,0.5603244522238965
10,5,0.0,100,5,0.1,paraphrase-MiniLM-L6-v2,0.45248849797987023,0.875,0.8517754673957825,0.7264213217918843
10,5,0.0,100,5,0.1,neuralmind/bert-base-portuguese-cased,0.5855894104641085,0.7454545454545455,0.4378083348274231,0.5896174302486924
10,5,0.0,100,10,0.1,all-MiniLM-L6-v2,0.4580591963306784,0.9,0.810949444770813,0.7230028803671638
10,5,0.0,100,10,0.1,all-distilroberta-v1,0.5566195431643959,0.8375,0.30572059750556946,0.5666133802233219
10,5,0.0,100,10,0.1,paraphrase-MiniLM-L6-v2,0.45263640564741964,0.875,0.8524798154830933,0.7267054070435043
10,5,0.0,100,10,0.1,neuralmind/bert-base-portuguese-cased,0.5968936471035625,0.765,0.5238223671913147,0.6285720047649591
10,5,0.0,100,100,0.1,all-MiniLM-L6-v2,0.47080170661900494,0.825,0.8266275525093079,0.7074764197094376
10,5,0.0,100,100,0.1,all-distilroberta-v1,0.5904599606977377,0.8714285714285714,0.43029338121414185,0.630727304446817
10,5,0.0,100,100,0.1,paraphrase-MiniLM-L6-v2,0.4737512001891553,0.875,0.8623101711273193,0.7370204571054915
10,5,0.0,100,100,0.1,neuralmind/bert-base-portuguese-cased,0.646865725432927,0.8416666666666667,0.47207754850387573,0.6535366468678231
10,5,0.0,150,5,0.1,all-MiniLM-L6-v2,0.45898289678352394,0.875,0.8152495622634888,0.7164108196823374
10,5,0.0,150,5,0.1,all-distilroberta-v1,0.5429378409206779,0.8083333333333333,0.25461065769195557,0.5352939439819889
10,5,0.0,150,5,0.1,paraphrase-MiniLM-L6-v2,0.45248849797987023,0.875,0.8517754673957825,0.7264213217918843
10,5,0.0,150,5,0.1,neuralmind/bert-base-portuguese-cased,0.5799808848973852,0.78,0.48167920112609863,0.6138866953411614
10,5,0.0,150,10,0.1,all-MiniLM-L6-v2,0.4580591963306784,0.9,0.810949444770813,0.7230028803671638
10,5,0.0,150,10,0.1,all-distilroberta-v1,0.5700768331921032,0.8285714285714286,0.3411880135536194,0.5799454251057171
10,5,0.0,150,10,0.1,paraphrase-MiniLM-L6-v2,0.45263640564741964,0.875,0.8524798154830933,0.7267054070435043
10,5,0.0,150,10,0.1,neuralmind/bert-base-portuguese-cased,0.597664591599929,0.8166666666666667,0.5087825059890747,0.6410379214185568
10,5,0.0,150,100,0.1,all-MiniLM-L6-v2,0.47080170661900494,0.825,0.8266274929046631,0.7074763998412227
10,5,0.0,150,100,0.1,all-distilroberta-v1,0.5904599606977377,0.8714285714285714,0.43029338121414185,0.630727304446817
10,5,0.0,150,100,0.1,paraphrase-MiniLM-L6-v2,0.4737512001891553,0.875,0.8623101711273193,0.7370204571054915
10,5,0.0,150,100,0.1,neuralmind/bert-base-portuguese-cased,0.6237226904841485,0.9375,0.5180367231369019,0.6930864712070167
10,5,0.1,50,5,0.1,all-MiniLM-L6-v2,0.49410952050684975,0.975,0.4174516201019287,0.6288537135362594
10,5,0.1,50,5,0.1,all-distilroberta-v1,0.5085782533099399,0.7625,0.3614973723888397,0.5441918752329266
10,5,0.1,50,5,0.1,paraphrase-MiniLM-L6-v2,0.42267891074520014,0.8,0.6726915240287781,0.6317901449246595
10,5,0.1,50,5,0.1,neuralmind/bert-base-portuguese-cased,0.5610120904633346,0.8454545454545455,0.3745412826538086,0.5936693061905629
10,5,0.1,50,10,0.1,all-MiniLM-L6-v2,0.5236393197483629,0.975,0.4224013090133667,0.6403468762539098
10,5,0.1,50,10,0.1,all-distilroberta-v1,0.49553790822878957,0.8846153846153846,0.24511677026748657,0.541756687703887
10,5,0.1,50,10,0.1,paraphrase-MiniLM-L6-v2,0.42267891074520014,0.8,0.6726915240287781,0.6317901449246595
10,5,0.1,50,10,0.1,neuralmind/bert-base-portuguese-cased,0.6031675841792741,0.7708333333333334,0.5043177604675293,0.6261062259933788
10,5,0.1,50,100,0.1,all-MiniLM-L6-v2,0.4819933318902556,0.825,0.7956610918045044,0.7008848078982534
10,5,0.1,50,100,0.1,all-distilroberta-v1,0.591524283330445,0.8357142857142857,0.3716721534729004,0.5996369075058771
10,5,0.1,50,100,0.1,paraphrase-MiniLM-L6-v2,0.47766407547588374,0.825,0.8289466500282288,0.7105369085013709
10,5,0.1,50,100,0.1,neuralmind/bert-base-portuguese-cased,0.6524652693979353,0.7857142857142857,0.46342068910598755,0.6338667480727361
10,5,0.1,100,5,0.1,all-MiniLM-L6-v2,0.4819933318902556,0.825,0.7826067805290222,0.696533370806426
10,5,0.1,100,5,0.1,all-distilroberta-v1,0.5587211339637168,0.645,0.09178052842617035,0.4318338874632957
10,5,0.1,100,5,0.1,paraphrase-MiniLM-L6-v2,0.43227841416051055,0.6409090909090909,0.4281251132488251,0.5004375394394754
10,5,0.1,100,5,0.1,neuralmind/bert-base-portuguese-cased,0.576744184435805,0.8125,0.4429601728916168,0.6107347857758073
10,5,0.1,100,10,0.1,all-MiniLM-L6-v2,0.4834958185675311,0.825,0.7804454565048218,0.6963137583574509
10,5,0.1,100,10,0.1,all-distilroberta-v1,0.5683412491283085,0.8571428571428571,0.3693506419658661,0.5982782494123439
10,5,0.1,100,10,0.1,paraphrase-MiniLM-L6-v2,0.4412818074598232,0.7333333333333333,0.14566834270954132,0.44009449450089927
10,5,0.1,100,10,0.1,neuralmind/bert-base-portuguese-cased,0.594208887506514,0.75,0.5204811096191406,0.6215633323752182
10,5,0.1,100,100,0.1,all-MiniLM-L6-v2,0.4819933318902556,0.825,0.7956610321998596,0.7008847880300384
10,5,0.1,100,100,0.1,all-distilroberta-v1,0.5900007247303538,0.825,0.3879317343235016,0.6009774863512851
10,5,0.1,100,100,0.1,paraphrase-MiniLM-L6-v2,0.47766407547588374,0.825,0.8289466500282288,0.7105369085013709
10,5,0.1,100,100,0.1,neuralmind/bert-base-portuguese-cased,0.6301935486540551,0.9375,0.5236020088195801,0.6970985191578783
10,5,0.1,150,5,0.1,all-MiniLM-L6-v2,0.4819933318902556,0.825,0.782606840133667,0.6965333906746408
10,5,0.1,150,5,0.1,all-distilroberta-v1,0.5663254936837372,0.6944444444444444,0.10809110105037689,0.4562870130595195
10,5,0.1,150,5,0.1,paraphrase-MiniLM-L6-v2,0.47919705071315905,0.7,0.5600547194480896,0.5797505900537495
10,5,0.1,150,5,0.1,neuralmind/bert-base-portuguese-cased,0.5771096964114678,0.8642857142857143,0.4664105474948883,0.6359353193973568
10,5,0.1,150,10,0.1,all-MiniLM-L6-v2,0.4834958185675311,0.825,0.7804454565048218,0.6963137583574509
10,5,0.1,150,10,0.1,all-distilroberta-v1,0.5495231262764143,0.8166666666666667,0.18890169262886047,0.5183638285239804
10,5,0.1,150,10,0.1,paraphrase-MiniLM-L6-v2,0.45012432766638594,0.85,0.8112114071846008,0.7037785782836622
10,5,0.1,150,10,0.1,neuralmind/bert-base-portuguese-cased,0.5792743752136289,0.85,0.4594927728176117,0.6295890493437469
10,5,0.1,150,100,0.1,all-MiniLM-L6-v2,0.4819933318902556,0.825,0.7956610918045044,0.7008848078982534
10,5,0.1,150,100,0.1,all-distilroberta-v1,0.579256928683179,0.8,0.32135069370269775,0.5668692074619589
10,5,0.1,150,100,0.1,paraphrase-MiniLM-L6-v2,0.47766407547588374,0.825,0.8289466500282288,0.7105369085013709
10,5,0.1,150,100,0.1,neuralmind/bert-base-portuguese-cased,0.5658088430438322,0.9333333333333333,0.6978610157966614,0.7323343973912756
10,5,0.5,50,5,0.1,all-MiniLM-L6-v2,0.44207579978802547,0.8409090909090909,0.029374074190855026,0.4374529882959905
10,5,0.5,50,5,0.1,all-distilroberta-v1,0.5635317883681525,0.7681818181818182,0.06292823702096939,0.46488061452364676
10,5,0.5,50,5,0.1,paraphrase-MiniLM-L6-v2,0.42235212300463726,0.775,0.41136854887008667,0.5362402239582413
10,5,0.5,50,5,0.1,neuralmind/bert-base-portuguese-cased,0.4212435443986453,0.9833333333333333,-0.0842391774058342,0.4401125667753815
10,5,0.5,50,10,0.1,all-MiniLM-L6-v2,0.4792088649109499,0.8272727272727273,0.41096943616867065,0.5724836761174493
10,5,0.5,50,10,0.1,all-distilroberta-v1,0.35261598382726433,0.925,0.034757498651742935,0.4374578274930025
10,5,0.5,50,10,0.1,paraphrase-MiniLM-L6-v2,0.39482609634510846,0.825,0.3992239832878113,0.5396833598776399
10,5,0.5,50,10,0.1,neuralmind/bert-base-portuguese-cased,0.48778579459632776,0.925,-0.045009881258010864,0.45592530444610563
10,5,0.5,50,100,0.1,all-MiniLM-L6-v2,0.47312342777044614,0.825,0.5832792520523071,0.6271342266075844
10,5,0.5,50,100,0.1,all-distilroberta-v1,0.5542207653547006,0.86,0.22676552832126617,0.5469954312253222
10,5,0.5,50,100,0.1,paraphrase-MiniLM-L6-v2,0.45856454892539467,0.85,0.7405682802200317,0.6830442763818088
10,5,0.5,50,100,0.1,neuralmind/bert-base-portuguese-cased,0.5640701654860796,0.9333333333333333,0.7317591309547424,0.7430542099247184
10,5,0.5,100,5,0.1,all-MiniLM-L6-v2,0.4806188767034854,0.82,0.3390321135520935,0.5465503300851929
10,5,0.5,100,5,0.1,all-distilroberta-v1,0.5438051658193787,0.8071428571428572,0.06328485906124115,0.47141096067449234
10,5,0.5,100,5,0.1,paraphrase-MiniLM-L6-v2,0.3829870301882818,0.8375,0.504957914352417,0.5751483148468995
10,5,0.5,100,5,0.1,neuralmind/bert-base-portuguese-cased,0.6170276134477222,0.9416666666666667,0.5107326507568359,0.6898089769570749
10,5,0.5,100,10,0.1,all-MiniLM-L6-v2,0.4089812289459702,0.8,0.08245036751031876,0.430477198818763
10,5,0.5,100,10,0.1,all-distilroberta-v1,0.537513853459956,0.8857142857142857,0.2697681486606598,0.5643320959449671
10,5,0.5,100,10,0.1,paraphrase-MiniLM-L6-v2,0.4939703035396029,0.78,0.6079712510108948,0.6273138515168326
10,5,0.5,100,10,0.1,neuralmind/bert-base-portuguese-cased,0.5447237535344519,0.9333333333333333,0.5188699960708618,0.665642360979549
10,5,0.5,100,100,0.1,all-MiniLM-L6-v2,0.47312342777044614,0.825,0.5832792520523071,0.6271342266075844
10,5,0.5,100,100,0.1,all-distilroberta-v1,0.4674921927422133,0.8,0.2043079137802124,0.4906000355074753
10,5,0.5,100,100,0.1,paraphrase-MiniLM-L6-v2,0.45856454892539467,0.85,0.7405683398246765,0.6830442962500237
10,5,0.5,100,100,0.1,neuralmind/bert-base-portuguese-cased,0.5160161234727567,0.95,0.7518115639686584,0.739275895813805
10,5,0.5,150,5,0.1,all-MiniLM-L6-v2,0.4608843562953269,0.9333333333333333,0.33703896403312683,0.5770855512205957
10,5,0.5,150,5,0.1,all-distilroberta-v1,0.5313380449674685,0.775,0.06602946668863297,0.45745583721870053
10,5,0.5,150,5,0.1,paraphrase-MiniLM-L6-v2,0.4584159176293185,0.825,0.09556012600660324,0.4596586812119739
10,5,0.5,150,5,0.1,neuralmind/bert-base-portuguese-cased,0.6041321127293482,0.9125,0.5867434740066528,0.7011251955786669
10,5,0.5,150,10,0.1,all-MiniLM-L6-v2,0.498262684405401,0.875,0.6506915092468262,0.6746513978840758
10,5,0.5,150,10,0.1,all-distilroberta-v1,0.4802915511028246,0.82,0.09152209758758545,0.4639378828968033
10,5,0.5,150,10,0.1,paraphrase-MiniLM-L6-v2,0.4939703035396029,0.78,0.6079712510108948,0.6273138515168326
10,5,0.5,150,10,0.1,neuralmind/bert-base-portuguese-cased,0.5447237535344519,0.9333333333333333,0.518869936466217,0.665642341111334
10,5,0.5,150,100,0.1,all-MiniLM-L6-v2,0.44644130074696814,0.8166666666666667,0.49658727645874023,0.5865650812907917
10,5,0.5,150,100,0.1,all-distilroberta-v1,0.39634769823053373,0.7,0.12517236173152924,0.4071733533206876
10,5,0.5,150,100,0.1,paraphrase-MiniLM-L6-v2,0.45856454892539467,0.85,0.7405683398246765,0.6830442962500237
10,5,0.5,150,100,0.1,neuralmind/bert-base-portuguese-cased,0.5160161234727567,0.95,0.7518115639686584,0.739275895813805
10,10,0.0,50,5,0.1,all-MiniLM-L6-v2,0.5209556070408661,0.8583333333333333,0.2609908878803253,0.5467599427515082
10,10,0.0,50,5,0.1,all-distilroberta-v1,0.4818760949369617,0.890625,0.12980490922927856,0.5007686680554134
10,10,0.0,50,5,0.1,paraphrase-MiniLM-L6-v2,0.4597322959698038,0.7521739130434782,0.6282937526702881,0.6133999872278567
10,10,0.0,50,5,0.1,neuralmind/bert-base-portuguese-cased,0.5513149811483969,0.7833333333333333,0.37547656893730164,0.5700416278063439
10,10,0.0,50,10,0.1,all-MiniLM-L6-v2,0.5306567921744171,0.9,0.6300802230834961,0.6869123384193044
10,10,0.0,50,10,0.1,all-distilroberta-v1,0.45102368087173444,0.89,0.3006270229816437,0.5472169012844593
10,10,0.0,50,10,0.1,paraphrase-MiniLM-L6-v2,0.44523134908113615,0.8022727272727272,0.6383812427520752,0.6286284397019796
10,10,0.0,50,10,0.1,neuralmind/bert-base-portuguese-cased,0.5876417763968,0.7785714285714286,0.3247748911380768,0.5636626987021018
10,10,0.0,50,100,0.1,all-MiniLM-L6-v2,0.47584988143663365,0.85,0.8194795250892639,0.7151098021752992
10,10,0.0,50,100,0.1,all-distilroberta-v1,0.5847221053890389,0.8714285714285714,0.45330363512039185,0.6364847706460007
10,10,0.0,50,100,0.1,paraphrase-MiniLM-L6-v2,0.454368672340346,0.85,0.854451060295105,0.7196065775451504
10,10,0.0,50,100,0.1,neuralmind/bert-base-portuguese-cased,0.606215950359684,0.79375,0.34575286507606506,0.5819062718119163
10,10,0.0,100,5,0.1,all-MiniLM-L6-v2,0.4531912463505734,0.875,0.8036363124847412,0.7106091862784382
10,10,0.0,100,5,0.1,all-distilroberta-v1,0.5289416959631486,0.8444444444444444,0.24041804671287537,0.5379347290401562
10,10,0.0,100,5,0.1,paraphrase-MiniLM-L6-v2,0.46448469310268803,0.875,0.8425078392028809,0.7273308441018562
10,10,0.0,100,5,0.1,neuralmind/bert-base-portuguese-cased,0.5609300693411127,0.7458333333333333,0.5016102194786072,0.602791207384351
10,10,0.0,100,10,0.1,all-MiniLM-L6-v2,0.47508802682085194,0.85,0.8127897381782532,0.7126259216663683
10,10,0.0,100,10,0.1,all-distilroberta-v1,0.5696214940287476,0.8214285714285714,0.38466814160346985,0.591906069020263
10,10,0.0,100,10,0.1,paraphrase-MiniLM-L6-v2,0.4516057634457874,0.875,0.8434184789657593,0.7233414141371822
10,10,0.0,100,10,0.1,neuralmind/bert-base-portuguese-cased,0.5798925976624065,0.765,0.490930438041687,0.6119410119013645
10,10,0.0,100,100,0.1,all-MiniLM-L6-v2,0.47584988143663365,0.85,0.8194795250892639,0.7151098021752992
10,10,0.0,100,100,0.1,all-distilroberta-v1,0.5847221053890389,0.8714285714285714,0.45330363512039185,0.6364847706460007
10,10,0.0,100,100,0.1,paraphrase-MiniLM-L6-v2,0.454368672340346,0.85,0.854451060295105,0.7196065775451504
10,10,0.0,100,100,0.1,neuralmind/bert-base-portuguese-cased,0.650894683958901,0.8416666666666667,0.47217774391174316,0.654913031512437
10,10,0.0,150,5,0.1,all-MiniLM-L6-v2,0.4531912463505734,0.875,0.8036363124847412,0.7106091862784382
10,10,0.0,150,5,0.1,all-distilroberta-v1,0.5416677482495637,0.8,0.24335706233978271,0.5283416035297822
10,10,0.0,150,5,0.1,paraphrase-MiniLM-L6-v2,0.46448469310268803,0.875,0.8425078392028809,0.7273308441018562
10,10,0.0,150,5,0.1,neuralmind/bert-base-portuguese-cased,0.48413214743962296,0.825,0.013398691080510616,0.44084361284004453
10,10,0.0,150,10,0.1,all-MiniLM-L6-v2,0.47508802682085194,0.85,0.8127897381782532,0.7126259216663683
