videoId,commentId,commentAuthor,authorChannelId,commentText,commentLikeCount,commentPublishedAt,commentUpdatedAt,commentReplyCount,language,textClean,feeling
sgiDNoHCCo4,UgwreOj_6a0-pmKycRB4AaABAg,@faoliver7915,UClIl1wIW8YRLmzp9Qc8W4Cw,Continuam achando que vao acabar a internet 😂😂😂😂,1.0,2026-03-15T13:43:08Z,2026-03-15T13:43:08Z,0.0,pt,Continuam achando que vao acabar a internet 😂😂😂😂,Neutro
6He2QH_PIcQ,UgwQDO-Ox2zfERlf3sN4AaABAg,@mah_que_ama_jesus123,UCI8mnSH0ja9PVrO80PI7cHg,Em um natal minha tia ficou bebada e surtou quebrou a chaleira de vidro oq fez machucar o pé minha mãe e fez outras coisas que nn posso falar,0.0,2025-12-25T21:16:09Z,2025-12-25T21:16:09Z,0.0,pt,Em um natal minha tia ficou bebada e surtou quebrou a chaleira de vidro oq fez machucar o pé minha mãe e fez outras coisas que nn posso falar,Neutro
p-4ILAhkRuE,UgzZbYzJnNuY4z-oeSt4AaABAg,@guilhermesoriano9286,UCfBEETT4F7sTKmyAyGtBeXQ,Felca é esquisito demais.,0.0,2026-03-26T09:24:06Z,2026-03-26T09:24:06Z,0.0,pt,Felca é esquisito demais.,Negativo
R4XXDl_YWbg,UgysitBZEluv0cXESP94AaABAg,@tiagoborges7041,UChDzl8oMtQktkz5yHmHixaQ,Esse fulano ai tinha que criar vergonha na cara e apagar o vídeo.  Porque ele falou merda demais. Parabéns Lucas por apontar esses meia rodas da Internet.,0.0,2026-01-25T13:38:22Z,2026-01-25T13:38:22Z,0.0,pt,Esse fulano ai tinha que criar vergonha na cara e apagar o vídeo. Porque ele falou merda demais. Parabéns Lucas por apontar esses meia rodas da Internet.,Negativo
ch6FKUvFJrg,Ugx0c0TSPS4Hi2U9yYx4AaABAg,@Cyric-1,UCjOcWSb6rDIirgBTamdgmew,"Não é pra atacar influenciador que postou na internet incentivo a votar nos 4 dedos? Moço, eles quiseram fazer propaganda gratuita para seus queridíssimos políticos de estimação, não quiseram? Eu não duvido que isso colaborou pra um bando de gente só votar por puro impulso, afinal, vocês são influenciadores, não são? Na hora de fazer live e vídeo emocional para o público votar a favor do político de estimação, tiveram coragem. Mas na hora de se posicionar contra uma maluquice dessa que o governo tá tentando empurrar, achando que é a porra da China, eles resolveram ficar quietinhos.
Agradeço por me informar que essa onda está acontecendo. Vou procurar esse moço no twitter e me juntar aos vigilantes do Felca. Afinal, é pelas crianças do nosso país, uma boa causa =)",0.0,2026-03-19T15:57:36Z,2026-03-19T15:57:36Z,0.0,pt,"Não é pra atacar influenciador que postou na internet incentivo a votar nos 4 dedos? Moço, eles quiseram fazer propaganda gratuita para seus queridíssimos políticos de estimação, não quiseram? Eu não duvido que isso colaborou pra um bando de gente só votar por puro impulso, afinal, vocês são influenciadores, não são? Na hora de fazer live e vídeo emocional para o público votar a favor do político de estimação, tiveram coragem. Mas na hora de se posicionar contra uma maluquice dessa que o governo tá tentando empurrar, achando que é a porra da China, eles resolveram ficar quietinhos. Agradeço por me informar que essa onda está acontecendo. Vou procurar esse moço no twitter e me juntar aos vigilantes do Felca. Afinal, é pelas crianças do nosso país, uma boa causa =)",Negativo
UHSI4dTC-Ik,Ugy7DCSNHQcOLQWDecZ4AaABAg,@sidnei-jrotp1119,UCrylvJNt15EK2cazXTfbEow,O mais novo FELFETO ... Mistura de Felca com Felipe feto! Cavalo de Tróia ... Uma hora a casinha deles irão cair,0.0,2025-08-28T11:06:27Z,2025-08-28T11:06:27Z,0.0,pt,O mais novo FELFETO ... Mistura de Felca com Felipe feto! Cavalo de Tróia ... Uma hora a casinha deles irão cair,Negativo
dEeWvlXbazg,UgxIZBUIU5WpN8A2NcJ4AaABAg,@MaelyCruzdossantoslima,UC5egCzVZ2-noNVUlsROhe5A,Ninguém vai para o felca hoje quem tentar vai ver sua aura😂😂,0.0,2025-08-29T01:14:40Z,2025-08-29T01:14:40Z,0.0,pt,Ninguém vai para o felca hoje quem tentar vai ver sua aura😂😂,Positivo
Uew-trerHi8,UgxhbYJb7NUbf26pQHR4AaABAg,@Kamy-i4v,UC_7roXVQv388uUd6cKndWwg,Tá mais com quantos anos ela acha que deve ter ?,0.0,2025-10-24T15:51:45Z,2025-10-24T15:51:45Z,0.0,pt,Tá mais com quantos anos ela acha que deve ter ?,Neutro
maYVAFdbBv4,UgxkhcqlY11NwGfCYP94AaABAg,@annapaulajl,UCPUbmKxCKGPMC5vSlSWkjYw,"Tão trabalhando só superior o Felca né, pque rolou uma coxa mole aí hein?! 🤣😆😅 Trabalhe as coxas tbem Felquinha! Vai ficar lindão!!! Parabéns pelo esforço!! 👏👏👏",1.0,2025-08-10T23:25:46Z,2025-08-10T23:25:46Z,0.0,pt,"Tão trabalhando só superior o Felca né, pque rolou uma coxa mole aí hein?! 🤣😆😅 Trabalhe as coxas tbem Felquinha! Vai ficar lindão!!! Parabéns pelo esforço!! 👏👏👏",Positivo
-wDoAGedTY8,UgwVdEyKxzRuaoFkP3x4AaABAg,@SenhoraDajudaCardosoDeSá,UCmILTsQ8rPHNkA3T7gGd4mA,Se ele não tivesse feito isso não teria voltado pra ele ele até que merece um castigo,0.0,2026-01-27T12:59:13Z,2026-01-27T12:59:13Z,0.0,pt,Se ele não tivesse feito isso não teria voltado pra ele ele até que merece um castigo,Negativo
