,Adultização e Impactos,Educação e Prevenção,Exploração e Abuso,Felca como Ator Midiático,Games e Mercado,Polarização e Guerra Cultural,Privacidade e Infraestrutura,Regulação e ECA Digital,Roblox e Mobilização,Ruído / Não-substantivo
t_syll,33.952,42.144,39.01,33.604,37.227,25.274,44.614,37.046,23.772,25.183
uber_ttr,31.118,38.192,39.272,35.056,39.591,29.84,42.648,38.311,27.742,29.54
n_udet,1.303,1.465,1.531,1.376,1.494,1.135,1.665,1.424,1.131,1.163
t_syll3,1.262,2.027,1.505,1.183,1.316,0.93,1.771,1.661,0.657,0.801
a_noun_ps,2.165,3.041,2.497,2.314,2.706,1.944,2.883,2.44,2.244,2.067
a_adj_pw,0.062,0.083,0.054,0.053,0.051,0.054,0.052,0.056,0.048,0.056
simp_aux_var,0.437,0.374,0.481,0.454,0.484,0.412,0.493,0.462,0.415,0.415
n_upunct,1.077,1.293,1.332,1.14,1.169,0.958,1.399,1.321,0.554,0.815
fogi,11.409,14.129,12.411,11.606,12.29,10.389,12.965,12.905,10.438,10.759
cole,3.576,4.942,4.44,3.592,4.137,2.58,4.743,4.728,2.994,3.132
