,Adultização e Impactos,Educação e Prevenção,Exploração e Abuso,Felca como Ator Midiático,Games e Mercado,Polarização e Guerra Cultural,Privacidade e Infraestrutura,Regulação e ECA Digital,Roblox e Mobilização,Ruído / Não-substantivo
cole,6.806,7.294,6.641,3.554,5.673,5.166,6.232,8.803,3.82,1.897
a_adp_pw,0.095,0.107,0.107,0.081,0.1,0.096,0.101,0.132,0.092,0.07
a_cconj_ps,0.796,1.099,0.711,0.59,1.144,0.576,0.99,0.924,0.908,0.404
t_syll3,90.679,405.889,136.797,51.44,80.449,133.325,119.154,198.078,25.952,56.329
a_punct_pw,0.131,0.133,0.129,0.153,0.122,0.135,0.132,0.113,0.141,0.167
a_subtlex_us_zipf_pw,1.354,1.435,1.426,1.317,1.468,1.439,1.43,1.564,1.449,1.269
a_pron_pw,0.089,0.071,0.077,0.102,0.072,0.083,0.077,0.052,0.079,0.097
a_bry_ps,6.546,11.048,7.962,7.031,15.642,7.384,12.202,9.776,6.375,5.427
uber_ttr,28.11,26.245,31.921,27.07,28.329,29.884,28.545,32.511,31.796,24.249
a_adj_pw,0.045,0.046,0.041,0.035,0.038,0.038,0.043,0.057,0.033,0.035
