arquivo,duracao_segundos,frequencia_amostragem,amplitude_media,amplitude_maxima,amplitude_ratio (mean/max),snr_estimado_db,zero_crossing_rate,regioes_silencio,silencio/tempo,cluster
KKIOPyCfj4c,174.567625,48000.0,0.35350338,1.4571716,0.2425955832004547,51.099495,0.0585150151705517,0.0,0.0,15.0
HDgjOUbnI10,4.288,48000.0,0.2665177,1.1256461,0.2367686331272125,45.733635,0.0410010856079404,0.0,0.0,57.0
1UdrvDEMCQo,33.401916666666665,48000.0,0.18571082,1.0784311,0.1722046136856079,40.462532,0.0381726183349297,0.0,0.0,4.0
EynhnYNmP54,13.815875,48000.0,0.058367003,0.65217096,0.0894964784383773,34.20217,0.0380019199701003,0.0,0.0,9.0
LDsNgfhl6Vs,14.933333333333334,48000.0,0.13811876,1.0382018,0.1330365240573883,33.2531,0.041850687009279,0.0,0.0,36.0
9PVThI6OBG0,24.3113125,48000.0,0.016104335,0.4213292,0.0382226891815662,21.536606,0.0149219178316885,2.0,0.0822662289417735,70.0
BO6_wo7ov-I,13.606895833333333,48000.0,0.040591925,0.29343706,0.138332650065422,39.39248,0.0472718241820141,0.0,0.0,50.0
0zExQK2Lyiw,35.59620833333334,48000.0,0.01779027,0.38817832,0.0458301454782485,23.519608,0.0387870555441132,1.0,0.028092879742575575,70.0
u4y-4rBIPUQ,31.5559375,48000.0,0.09602285,0.6329863,0.1516981571912765,42.301735,0.045792002418469,0.0,0.0,55.0
iB3mTo1S0rg,10.727625,48000.0,0.11497979,0.9292847,0.1237293481826782,45.989,0.0318504014972664,0.0,0.0,61.0
LhbgeONAbZo,29.094604166666667,48000.0,0.085237026,0.9979315,0.085413709282875,38.414207,0.0256773649422653,0.0,0.0,48.0
0C3lpoaCu7c,6.037208333333333,48000.0,0.23433805,1.1676363,0.2006943821907043,188.96147,0.0526964167402826,0.0,0.0,3.0
AXY329DrfeU,21.013333333333332,48000.0,0.100617275,0.5621254,0.1789943575859069,54.31627,0.0487087178145611,0.0,0.0,55.0
fbLVXvMYo2E,21.536520833333334,48000.0,0.07201536,0.81244624,0.0886401534080505,43.261818,0.0386409344059405,0.0,0.0,61.0
uKFFwIAG6m4,25.774166666666662,48000.0,0.055808466,0.94344103,0.0591541640460491,53.948933,0.0226696236941456,2.0,0.07759707717675969,48.0
8qThIkCPjpo,45.47629166666667,48000.0,0.27690488,1.2633114,0.2191897332668304,79.23854,0.0484863052225023,0.0,0.0,27.0
EGIP1styF0A,28.723104166666666,48000.0,0.19340697,1.0815952,0.17881640791893,60.693165,0.0428797243432046,0.0,0.0,27.0
tAIjTGi9D68,30.037354166666667,48000.0,0.041299433,0.26722798,0.1545475572347641,34.446857,0.0328188440162406,0.0,0.0,50.0
ZcnUhFxb59s,20.7354375,48000.0,0.07346853,1.0008354,0.0734072029590606,179.11548,0.0255541389371141,0.0,0.0,33.0
FobEptIIzFI,29.47775,48000.0,0.25141424,1.2070092,0.2082952111959457,30.478111,0.0594042544772069,0.0,0.0,41.0
EMuSkcDEgqU,12.010666666666667,48000.0,0.08164127,0.79360235,0.1028742790222168,42.23784,0.0462528421694764,0.0,0.0,22.0
ZSoJpFVrfp4,4.771708333333334,48000.0,0.12630032,0.6446091,0.1959331929683685,35.3525,0.0301099504743303,0.0,0.0,26.0
jG6b_cqJW-g,15.893333333333333,48000.0,0.19014983,1.0554588,0.1801584661006927,35.479546,0.0664959810949027,0.0,0.0,58.0
qpyLckxirXM,23.881729166666663,48000.0,0.44614473,1.4711459,0.3032634258270263,38.87016,0.0091547827573693,0.0,0.0,10.0
ZShSH96yXxI,19.71375,48000.0,0.19705452,0.9997745,0.197098970413208,36.00617,0.0380941239352352,0.0,0.0,4.0
xPTnmxv6EjE,58.73489583333333,48000.0,0.18768594,1.2090796,0.1552304178476333,33.631226,0.0287778267999818,2.0,0.034051307517003485,4.0
4q-_1JD2vGc,15.018666666666666,48000.0,0.042743072,0.46227166,0.0924631059169769,81.210526,0.0138323251197657,0.0,0.0,73.0
MlhuR3BppXU,11.8421875,48000.0,0.077120006,0.9334058,0.0826221629977226,58.587452,0.0404530687443744,0.0,0.0,61.0
oeNwBL1ADEU,3.3493333333333335,48000.0,0.10699871,0.717443,0.1491389721632003,46.341778,0.053386966765873,0.0,0.0,18.0
x_Imetp5n88,11.904,48000.0,0.12653695,0.760232,0.166445180773735,44.99992,0.0526976555505819,0.0,0.0,18.0
vcsNGlznRgM,58.81614583333333,48000.0,0.19376323,1.0104634,0.1917567998170852,63.922432,0.0663819908771532,0.0,0.0,27.0
B1XQ4cfdwgU,338.24508333333335,48000.0,0.037691157,0.361216,0.1043452024459838,173.39658,0.0677016250029563,0.0,0.0,69.0
_wAA49mOOHc,33.1000625,48000.0,0.044386797,0.68649507,0.0646571218967437,36.77048,0.0307175154538498,0.0,0.0,48.0
C1ykP5OOJ8c,26.773333333333333,48000.0,0.042024545,0.45015022,0.0933567136526107,35.28665,0.0323533483920748,0.0,0.0,9.0
w1ujX_5c_-Q,170.55058333333332,48000.0,0.017897377,0.39862284,0.0448980219662189,22.592052,0.053100448522514,0.0,0.0,42.0
g1xBrUIqtRA,21.083729166666668,48000.0,0.07066311,0.45283195,0.1560470908880233,45.491043,0.0383632970567779,0.0,0.0,50.0
bhlN13chuhU,117.70195833333334,48000.0,0.035306748,0.4658242,0.0757941529154777,24.610262,0.0406072563859311,1.0,0.00849603536049917,70.0
SEdosmxc1-U,14.7330625,48000.0,0.005588171,0.20173392,0.0277007017284631,19.595655,0.042618261577424,0.0,0.0,70.0
nDDlfHNaEI4,24.822145833333337,48000.0,0.16000529,1.0864288,0.147276371717453,27.597254,0.0400818500322164,0.0,0.0,36.0
VWzwYElNPFo,5.027125,48000.0,0.05946861,0.3819198,0.1557096689939499,45.406883,0.0234343965174788,0.0,0.0,50.0
CN23owcVjS4,17.043458333333334,48000.0,0.055685285,0.44797015,0.1243057921528816,43.510727,0.0413459329044117,0.0,0.0,50.0
-NG0wZnDz_k,8.568979166666667,48000.0,0.08869373,0.95595396,0.0927803367376327,36.61019,0.023857761971393,0.0,0.0,20.0
tiE_WWjENPg,6.0255833333333335,48000.0,0.077738814,0.7289792,0.1066406518220901,36.820553,0.0601199529867256,0.0,0.0,56.0
