k,silhouette,c_v,combined
2,0.08438306301832199,0.4520524234040332,0.5944406596330407
3,0.052200835198163986,0.44714098607108127,0.2567847896309613
4,0.05120363086462021,0.4606829468816987,0.4304664820864232
5,0.05221106857061386,0.4450292143609113,0.22847429322970625
6,0.053927574306726456,0.45724188584748,0.4071843270780212
7,0.05309517681598663,0.4673518816766107,0.5361075371038663
8,0.046573277562856674,0.46791146676903184,0.4885886150875197
9,0.039324428886175156,0.46132344087049926,0.33882088887998774
10,0.034336578100919724,0.46208336386133436,0.30694298473366044
11,0.0338781364262104,0.4747476908197348,0.4733702464038083
12,0.025244904682040215,0.46941688694236766,0.32882436924263464
13,0.03421648591756821,0.46817851637867886,0.3878905694930814
14,0.029599349945783615,0.4734435557465909,0.4197214526575463
15,0.02878732979297638,0.46895466762801324,0.3525063499681146
16,0.026606325060129166,0.4759170441152298,0.4277217197822276
17,0.027598589658737183,0.4740235777946412,0.4106349251650017
18,0.028930190950632095,0.47270842035248933,0.40418855361617984
19,0.030676662921905518,0.47581679609938105,0.46072659264552773
20,0.027356818318367004,0.482212399391656,0.518708999475348
21,0.029269404709339142,0.47339496116797025,0.4162833273337267
22,0.028089169412851334,0.4647494951294042,0.2900673092614685
23,0.0251400638371706,0.47582843048402174,0.4141551631153206
24,0.026719866320490837,0.47742385688348293,0.44894200563515263
25,0.027507085353136063,0.4727211452742429,0.39234891576149505
26,0.02747199311852455,0.47914651451589513,0.47845428839316656
27,0.02899167500436306,0.47290821997478927,0.40739416092456104
28,0.02590605802834034,0.47465836131145484,0.4048861648552917
29,0.02579590119421482,0.4745903875293306,0.40304242220358893
30,0.02608523517847061,0.47973440310255555,0.4746556084649318
