,arquivo,duracao_segundos,frequencia_amostragem,amplitude_media,amplitude_maxima,amplitude_ratio (mean/max),snr_estimado_db,zero_crossing_rate,regioes_silencio,silencio/tempo,cluster,resposta_1,resposta_2,resposta_3,classificacao
1,LPDJollYuAc,12.968354166666666,48000,0.29096717,1.1350255,0.2563529908657074,48.810177,0.0228528474506578,0,0.0,57,Boa,Boa,Boa,Boa
9,QinBWzZ3txo,102.72,48000,0.02817971,0.24493015,0.1150520294904708,28.452297,0.0741875194683833,4,0.03894080996884735,14,Boa,Boa,Boa,Boa
15,0kKGkXgTxk0,63.20472916666667,48000,0.050613184,0.27421755,0.1845730990171432,58.52446,0.0474557300455619,0,0.0,50,Boa,Boa,Boa,Boa
27,4McSTEYaK5I,85.33333333333333,48000,0.08693065,0.75556946,0.115053154528141,30.00266,0.0907082049314148,2,0.0234375,16,Boa,Boa,Boa,Boa
29,bkPR2pbsZWQ,35.5033125,48000,0.09938686,0.7192451,0.1381821930408477,52.743225,0.0847412182712526,0,0.0,23,Boa,Boa,Boa,Boa
31,AwTPrxLK4yk,68.11575,48000,0.07124377,0.9477284,0.0751731917262077,31.164986,0.0508495298553476,18,0.2642560641261382,2,Boa,Boa,Boa,Boa
34,CiobYZ2OnDY,68.9400625,48000,0.03088801,0.3135682,0.0985049158334732,37.806248,0.0714288843740331,9,0.13054818451897982,68,Boa,Boa,Boa,Boa
37,HDgjOUbnI10,4.288,48000,0.2665177,1.1256461,0.2367686331272125,45.733635,0.0410010856079404,0,0.0,57,Ruim,Ruim,Ruim,Ruim
43,Oco1gvF7jEY,28.955291666666668,48000,0.0646082,0.76957077,0.0839535519480705,34.601284,0.042012689917127,7,0.24175201136234453,35,Boa,Boa,Boa,Boa
65,mdT3PjYoDqw,24.38095833333333,48000,0.050312765,0.6568461,0.0765974894165992,33.307144,0.0492946194225721,4,0.16406245994568852,46,Boa,Boa,Boa,Boa
78,u4y-4rBIPUQ,31.5559375,48000,0.09602285,0.6329863,0.1516981571912765,42.301735,0.045792002418469,0,0.0,55,Ruim,Ruim,Boa,Ruim
88,cIEbNudPCfk,96.50214583333332,48000,0.076786496,0.93330985,0.0822733119130134,32.256027,0.0363942221347259,20,0.20724927748800062,35,Ruim,Boa,Boa,Boa
98,0C3lpoaCu7c,6.037208333333333,48000,0.23433805,1.1676363,0.2006943821907043,188.96147,0.0526964167402826,0,0.0,3,Ruim,Ruim,Ruim,Ruim
112,Wrl7xs-hSqA,56.7611875,48000,0.22885053,1.3002403,0.176006332039833,36.79125,0.0528587848788049,0,0.0,41,Boa,Boa,Boa,Boa
115,R39qiqP8Scw,38.784,48000,0.1124588,1.0963628,0.1025744378566742,28.936651,0.0834940799422601,0,0.0,16,Boa,Boa,Boa,Boa
117,mGYspANmnCw,44.67520833333333,48000,0.11531762,1.0633738,0.1084450483322143,88.44123,0.0730032339162091,0,0.0,28,Boa,Boa,Boa,Boa
139,atqo1VI4B_A,36.608,48000,0.020164592,0.24211507,0.0832851603627204,30.351555,0.0508264796642877,0,0.0,0,Boa,Boa,Boa,Boa
143,ROO1ri3FE_Y,110.6663125,48000,0.024536885,0.4165793,0.058900874108076,26.099546,0.0569263930722891,23,0.20783199042617417,68,Boa,Boa,Boa,Boa
152,fxhqNOfvxqI,34.602666666666664,48000,0.06630593,1.0673095,0.0621243678033351,24.615889,0.0764197021860554,0,0.0,77,Boa,Boa,Boa,Boa
156,mMSLH_aYhPM,60.801458333333336,48000,0.095908,0.6873003,0.1395430713891983,36.534283,0.0526726225388089,0,0.0,18,Boa,Boa,Boa,Boa
170,30hJ4l9JpRg,79.15683333333334,48000,0.0663066,1.0701346,0.0619609877467155,28.161045,0.0570522524760813,14,0.1768640736428314,24,Boa,Boa,Boa,Boa
192,YDAhohNeKQI,68.01066666666667,48000,0.030276343,0.99923,0.0302996728569269,17.13404,0.0717650926915085,3,0.04411072772898369,77,Boa,Boa,Boa,Boa
194,jG6b_cqJW-g,15.893333333333333,48000,0.19014983,1.0554588,0.1801584661006927,35.479546,0.0664959810949027,0,0.0,58,Ruim,Ruim,Ruim,Ruim
197,AIEihV-eiCA,15.658666666666669,48000,0.023858003,0.42308378,0.0563907288014888,37.604553,0.0536883349642614,5,0.3193119891008174,34,Ruim,Boa,Boa,Boa
199,qpyLckxirXM,23.881729166666663,48000,0.44614473,1.4711459,0.3032634258270263,38.87016,0.0091547827573693,0,0.0,10,Boa,Ruim,Ruim,Ruim
211,FKwjw5Moc-8,110.4,48000,0.08239571,1.0123795,0.0813881605863571,31.51745,0.0732087894587479,21,0.1902173913043478,24,Boa,Boa,Boa,Boa
215,bcCErOYkSEE,20.305854166666663,48000,0.06026756,0.6827908,0.0882665067911148,28.54134,0.0322909315093224,4,0.1969875272012074,60,Boa,Boa,Boa,Boa
238,IKem9Qmh0jA,60.03520833333334,48000,0.050016396,0.7049177,0.0709535256028175,24.698896,0.061620503891677,2,0.03331378461944206,72,Boa,Boa,Boa,Boa
243,ghU_yGFYa0s,40.06402083333333,48000,0.048512843,1.0142385,0.047831792384386,26.119663,0.0303015100978174,15,0.37440076377755815,52,Boa,Boa,Boa,Boa
246,MGefXuChRLk,84.224,48000,0.059073135,0.70765096,0.0834777876734733,35.762794,0.0682964926356527,16,0.18996960486322187,67,Boa,Boa,Boa,Boa
248,4q-_1JD2vGc,15.018666666666666,48000,0.042743072,0.46227166,0.0924631059169769,81.210526,0.0138323251197657,0,0.0,73,Ruim,Ruim,Ruim,Ruim
252,7PS4m-niwoY,14.805333333333332,48000,0.06468482,0.8787012,0.073614127933979,46.98702,0.0489255000224982,0,0.0,61,Boa,Boa,Boa,Boa
260,KjCDIZMy4ZU,27.46920833333333,48000,0.03620014,0.9094875,0.0398027896881103,29.453962,0.0437603115295031,5,0.18202199129024774,2,Boa,Boa,Boa,Boa
272,I89PVpAMrUI,76.60264583333333,48000,0.053369105,0.92996085,0.0573885515332222,28.853573,0.0622273729027429,26,0.33941386380529176,54,Ruim,Boa,Boa,Boa
327,SEdosmxc1-U,14.7330625,48000,0.005588171,0.20173392,0.0277007017284631,19.595655,0.042618261577424,0,0.0,70,Ruim,Ruim,Ruim,Ruim
328,EE3rnQITnPQ,51.31610416666667,48000,0.07176399,0.9992276,0.071819469332695,21.799238,0.0407889918610995,0,0.0,53,Boa,Boa,Boa,Boa
338,p4A-NrqFvuo,60.1396875,48000,0.08327157,0.9635736,0.0864195227622985,26.27138,0.0396688900680528,6,0.09976772825765015,17,Boa,Boa,Boa,Boa
360,CN23owcVjS4,17.043458333333334,48000,0.055685285,0.44797015,0.1243057921528816,43.510727,0.0413459329044117,0,0.0,50,Ruim,Ruim,Ruim,Ruim
380,2tjTeG9ZhTY,5.572791666666666,48000,0.02990116,0.4664876,0.0640985146164894,46.57989,0.0242217375717017,0,0.0,9,Ruim,Ruim,Ruim,Ruim
384,GT0nyH7b4AQ,25.425854166666667,48000,0.040168986,0.8239136,0.0487538836896419,26.894299,0.0530715020710989,1,0.03933004545078377,12,Boa,Boa,Boa,Boa
391,C17a8qQfBig,68.91683333333333,48000,0.10880704,0.91996026,0.1182736307382583,33.221313,0.0259352086074137,0,0.0,20,Boa,Boa,Boa,Boa
393,Z5k0XQUGGzY,15.9985625,48000,0.11684075,0.7000351,0.1669069826602935,29.261303,0.0548717447916666,0,0.0,18,Boa,Ruim,Boa,Boa
428,sYAmL--4hkM,23.521833333333333,48000,0.17717245,1.0627487,0.1667115241289138,44.40589,0.0255207743087035,0,0.0,4,Boa,Ruim,Boa,Boa
440,fYDXLCQ7kgM,48.192,48000,0.06793148,0.963277,0.0705212354660034,30.56862,0.0580164349482739,12,0.24900398406374502,24,Boa,Boa,Boa,Boa
457,3T3jrTUQqgU,52.964729166666665,48000,0.08642361,0.9183964,0.0941027328372001,27.737148,0.0804250151026983,0,0.0,16,Boa,Boa,Ruim,Boa
466,T9PfyS8pwZc,74.687,48000,0.18922892,1.2150697,0.155735045671463,31.154179,0.0682353172531062,0,0.0,58,Boa,Boa,Boa,Boa
478,_f_5AG6sI0k,11.157333333333334,48000,0.010487268,0.45578703,0.0230091400444507,33.454815,0.0233199767191977,4,0.35850860420650094,65,Boa,Boa,Boa,Boa
502,7NAC-bbswFc,78.66920833333333,48000,0.071314335,0.95233995,0.0748832747340202,23.7276,0.0680222914689533,0,0.0,77,Boa,Boa,Boa,Boa
539,4_WE4TsU1ys,10.517333333333331,48000,0.27378953,1.2409687,0.2206256538629531,38.900284,0.0505665447695035,0,0.0,15,Ruim,Ruim,Ruim,Ruim
585,qYYRlyDMjrE,73.45633333333333,48000,0.0764662,0.95145345,0.0803677812218666,27.689564,0.0395922571511543,6,0.08168118020229706,53,Ruim,Ruim,Boa,Ruim
586,D4X2y2yzVeg,49.77197916666667,48000,0.09852377,1.1286398,0.0872942581772804,49.70833,0.0328524246035997,0,0.0,61,Boa,Boa,Boa,Boa
